rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
697,T1645,Compromise Client Software Binary,0,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.077,Low,1.0,Not Material,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
698,T1509,Non-Standard Port,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
699,T1453,Abuse Accessibility Features,0,Low,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.0,Not Material,1.225,High,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
700,T1421,System Network Connections Discovery,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.075,Low,1.033,Low,1.0,Not Material,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
701,T1630.001,Uninstall Malicious Application,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.0,Not Material,1.055,Low,1.05,Low,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
702,T1623.001,Unix Shell,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.132,Moderate,1.05,Low,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
703,T1591,Gather Victim Org Information,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.0,Not Material,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
704,T1521.002,Asymmetric Cryptography,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
705,T0869,Standard Application Layer Protocol,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
706,T0828,Loss of Productivity and Revenue,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.099,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
707,T1636.001,Calendar Entries,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.0,Not Material,1.0,Not Material,1.175,Moderate,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
708,T1628.002,User Evasion,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
709,T1593,Search Open Websites/Domains,0,Low,1.228,High,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.088,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
710,T1541,Foreground Persistence,0,Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.132,Moderate,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
711,T1406.002,Software Packing,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.087,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
712,T0865,Spearphishing Attachment,0,Low,1.228,High,1.105,Low,1.0,Not Material,1.154,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
713,T1655,Masquerading,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.055,Low,1.087,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
714,T1642,Endpoint Denial of Service,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.099,Low,1.137,Moderate,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
715,T1603,Scheduled Task/Job,0,Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.075,Low,1.077,Low,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
716,T1589.001,Credentials,0,Low,1.228,High,1.193,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.088,Low,1.087,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
717,T1584.005,Botnet,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.075,Low,1.055,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
718,T1521.001,Symmetric Cryptography,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
719,T1481.001,Dead Drop Resolver,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.099,Low,1.087,Low,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
720,T1474.003,Compromise Software Supply Chain,0,Low,1.14,Moderate,1.105,Low,1.0,Not Material,1.056,Low,1.0,Not Material,1.0,Not Material,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
721,T1456,Drive-By Compromise,0,Low,1.28,High,1.228,High,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.033,Low,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
722,T1414,Clipboard Data,0,Low,1.0,Not Material,1.228,High,1.064,Low,1.056,Low,1.0,Not Material,1.0,Not Material,1.225,High,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
723,T0888,Remote System Information Discovery,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.05,Low,1.033,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
724,T0881,Service Stop,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.055,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.45,Severe
725,T0867,Lateral Tool Transfer,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.033,Low,1.05,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
726,T0817,Drive-by Compromise,0,Low,1.28,High,1.105,Low,1.0,Not Material,1.112,Moderate,1.075,Low,1.033,Low,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.45,Severe
727,T1662,Data Destruction,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.132,Moderate,1.225,High,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
728,T1637.001,Domain Generation Algorithms,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.099,Low,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
729,T1636.005,Accounts,0,Low,1.0,Not Material,1.123,Moderate,1.064,Low,1.056,Low,1.0,Not Material,1.055,Low,1.175,Moderate,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
730,T1593.003,Code Repositories,0,Low,1.175,Moderate,1.123,Moderate,1.176,Moderate,1.098,Low,1.125,Moderate,1.055,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
731,T1591.004,Identify Roles,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.0,Not Material,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
732,T1590.004,Network Topology,0,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.098,Low,1.2,Moderate,1.088,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
733,T1481.002,Bidirectional Communication,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.099,Low,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
734,T1461,Lockscreen Bypass,0,Low,1.193,Moderate,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.033,Low,1.05,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
735,T1437,Application Layer Protocol,0,Low,1.14,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.05,Low,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
736,T1398,Boot or Logon Initialization Scripts,0,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.077,Low,1.0,Not Material,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
737,T0882,Theft of Operational Information,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.044,Low,1.175,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
738,T0866,Exploitation of Remote Services,0,Low,1.193,Moderate,1.105,Low,1.0,Not Material,1.056,Low,1.2,Moderate,1.088,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
739,T0863,User Execution,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.0,Not Material,1.044,Low,1.05,Low,1.083,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
740,T0859,Valid Accounts,0,Low,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.132,Moderate,1.087,Low,1.083,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
741,T0853,Scripting,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.044,Low,1.0,Not Material,1.083,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
742,T0849,Masquerading,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.45,Severe
743,T0843,Program Download,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.125,Moderate,1.0,Not Material,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.45,Severe
744,T0836,Modify Parameter,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
745,T0829,Loss of View,0,Low,1.0,Not Material,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.05,Low,1.044,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
746,T0814,Denial of Service,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.088,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
747,T0809,Data Destruction,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.055,Low,1.137,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
748,T0807,Command-Line Interface,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
749,T0801,Monitor Process State,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.075,Low,1.0,Not Material,1.175,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
750,T1692.001,Command Message,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.055,Low,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
751,T1639.001,Exfiltration Over Unencrypted Non-C2 Protocol,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.055,Low,1.175,Moderate,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.113,Moderate
752,T1638,Adversary-in-the-Middle,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.154,Moderate,1.125,Moderate,1.055,Low,1.225,High,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
753,T1634.001,Keychain,0,Low,1.052,Low,1.228,High,1.0,Not Material,1.056,Low,1.075,Low,1.088,Low,1.137,Moderate,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
754,T1631.001,Ptrace System Calls,0,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.044,Low,1.087,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
755,T1629.002,Device Lockout,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
756,T1627.001,Geofencing,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.0,Not Material,1.055,Low,1.087,Low,1.127,Moderate,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
757,T1625.001,System Runtime API Hijacking,0,Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.077,Low,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
758,T1617,Hooking,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.033,Low,1.087,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
759,T1593.001,Social Media,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.055,Low,1.137,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
760,T1591.002,Business Relationships,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.2,Moderate,1.055,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
761,T1590.005,IP Addresses,0,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.098,Low,1.125,Moderate,1.088,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
762,T1590,Gather Victim Network Information,0,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.098,Low,1.2,Moderate,1.0,Not Material,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
763,T1589.003,Employee Names,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.0,Not Material,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
764,T1588.007,Artificial Intelligence,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.05,Low,1.0,Not Material,1.05,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
765,T1588.006,Vulnerabilities,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.033,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
766,T1587.004,Exploits,0,Low,1.14,Moderate,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.05,Low,1.088,Low,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
767,T1583.005,Botnet,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.125,Moderate,1.055,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
768,T1583.002,DNS Server,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.055,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
769,T1577,Compromise Application Executable,0,Low,1.052,Low,1.105,Low,1.0,Not Material,1.098,Low,1.0,Not Material,1.077,Low,1.05,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
770,T1471,Data Encrypted for Impact,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.044,Low,1.225,High,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
771,T1418.001,Security Software Discovery,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.045,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
772,T1417,Input Capture,0,Low,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.05,Low,1.0,Not Material,1.137,Moderate,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
773,T0893,Data from Local System,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.0,Not Material,1.055,Low,1.225,High,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
774,T0886,Remote Services,0,Low,1.193,Moderate,1.228,High,1.0,Not Material,1.056,Low,1.2,Moderate,1.088,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
775,T0885,Commonly Used Port,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.2,Moderate,1.099,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
776,T0884,Connection Proxy,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.099,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
777,T0862,Supply Chain Compromise,0,Low,1.14,Moderate,1.105,Low,1.112,Moderate,1.056,Low,1.075,Low,1.033,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
778,T0858,Change Operating Mode,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.075,Low,1.077,Low,1.087,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.45,Severe
779,T0846.001,Port Scan,0,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.088,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
780,T0846,Remote System Discovery,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.033,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
781,T0842,Network Sniffing,0,Low,1.052,Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.055,Low,1.137,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
782,T0834,Native API,0,Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
783,T0821,Modify Controller Tasking,0,Low,1.0,Not Material,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.0,Not Material,1.044,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.427,Severe
784,T0806,Brute Force I/O,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.45,Severe
785,T0802,Automated Collection,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.05,Low,1.055,Low,1.087,Low,1.03,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
786,T1694.002,Hardcoded Credentials,0,Low,1.0,Not Material,1.228,High,1.064,Low,1.0,Not Material,1.075,Low,1.077,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.427,Severe
787,T1683.002,Audio-Visual Content,0,Low,1.087,Low,1.123,Moderate,1.0,Not Material,1.098,Low,1.05,Low,1.055,Low,1.0,Not Material,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
788,T1683.001,Written Content,0,Low,1.087,Low,1.123,Moderate,1.0,Not Material,1.098,Low,1.05,Low,1.055,Low,1.0,Not Material,1.03,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
789,T1682,Query Public AI Services,0,Low,1.175,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.125,Moderate,1.055,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
790,T1681,Search Threat Vendor Data,0,Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.0,Not Material,1.087,Low,1.03,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
791,T1676,Linked Devices,0,Low,1.14,Moderate,1.228,High,1.0,Not Material,1.154,Moderate,1.05,Low,1.077,Low,1.175,Moderate,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
792,T1670,Virtualization Solution,0,Low,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.097,Low,1.0,Not Material,1.112,Moderate,1.108,Low,1.0,Not Material
793,T1664,Exploitation for Initial Access,0,Low,1.193,Moderate,1.105,Low,1.0,Not Material,1.056,Low,1.0,Not Material,1.088,Low,1.0,Not Material,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
794,T1663,Remote Access Software,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.132,Moderate,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
795,T1658,Exploitation for Client Execution,0,Low,1.14,Moderate,1.0,Not Material,1.0,Not Material,1.098,Low,1.125,Moderate,1.077,Low,1.05,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material
796,T1641.001,Transmitted Data Manipulation,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.044,Low,1.225,High,1.067,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
797,T1633,Virtualization/Sandbox Evasion,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.127,Moderate,1.0,Not Material,1.16,Moderate,1.108,Low,1.0,Not Material
798,T1631,Process Injection,0,Low,1.052,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.077,Low,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
799,T1630,Indicator Removal on Host,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.0,Not Material,1.05,Low,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
800,T1629,Impair Defenses,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
801,T1627,Execution Guardrails,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
802,T1624,Event Triggered Execution,0,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.077,Low,1.0,Not Material,1.075,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material
803,T1623,Command and Scripting Interpreter,0,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
804,T1604,Proxy Through Victim,0,Low,1.087,Low,1.123,Moderate,1.064,Low,1.0,Not Material,1.075,Low,1.055,Low,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.108,Low,1.0,Not Material
805,T1596.005,Scan Databases,0,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.088,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
806,T1596,Search Open Technical Databases,0,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.098,Low,1.2,Moderate,1.088,Low,1.137,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
807,T1590.001,Domain Properties,0,Low,1.228,High,1.0,Not Material,1.176,Moderate,1.098,Low,1.2,Moderate,1.055,Low,1.137,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
808,T1588.005,Exploits,0,Low,1.14,Moderate,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.05,Low,1.088,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
809,T1586.003,Cloud Accounts,0,Low,1.087,Low,1.123,Moderate,1.176,Moderate,1.154,Moderate,1.0,Not Material,1.055,Low,1.087,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
